# squared distance, heading (radians)
17.893445,1.191016
17.697563,1.204888
17.508494,1.224329
17.475866,1.242436
17.386135,1.258327
17.376992,1.275258
17.230747,1.289698
17.331977,1.307667
17.297728,1.326748
17.253779,1.344017
17.289342,1.360379
17.125664,1.377988
17.278611,1.395361
17.248050,1.409575
17.220267,1.427005
17.162701,1.444514
17.166488,1.462948
17.167685,1.480437
17.068001,1.482791
16.266711,1.483812
15.517449,1.484184
14.952683,1.486221
14.116417,1.483863
13.392860,1.482446
12.629847,1.481355
11.961951,1.482379
11.367141,1.486848
10.720809,1.488203
9.997246,1.485954
9.377028,1.487113
8.884272,1.487270
8.174087,1.486942
7.594812,1.485723
7.150537,1.483713
6.569726,1.479187
6.035221,1.479153
5.489504,1.477396
5.027004,1.477701
4.567898,1.476728
4.071853,1.478753
3.749296,1.477002
3.300125,1.477454
2.990671,1.476067
2.728870,1.475689
2.435359,1.476455
2.167528,1.474937
1.870550,1.475845
1.660377,1.474438
1.395378,1.473505
1.143770,1.473333
0.967395,1.473546
0.778103,1.471995
0.658189,1.473753
0.496133,1.474737
0.370807,1.473253
0.237050,1.474411
0.179259,1.473467
0.094200,1.471898
0.044178,1.471306
0.011138,1.472572
0.002566,1.470650
0.011032,1.473552
0.049941,1.473693
0.103632,1.472355
0.182249,1.471145
0.282029,1.469699
0.400451,1.470833
0.532389,1.469023
0.679711,1.471363
0.859494,1.474461
1.048011,1.478110
1.248619,1.477270
1.505729,1.480066
1.832983,1.480846
2.103731,1.483662
2.461673,1.482086
2.892276,1.480413
3.324415,1.479924
3.713398,1.479868
4.210086,1.477225
4.627684,1.476678
5.037105,1.478621
5.613783,1.479042
6.165382,1.482686
6.686300,1.477985
7.283216,1.475038
7.775848,1.474337
8.407800,1.476356
9.022836,1.477053
9.740145,1.475234
10.414252,1.472946
11.074985,1.472901
11.764231,1.471702
12.369736,1.473456
12.901532,1.472518
13.633959,1.473874
14.391876,1.472442
15.192247,1.468738
15.879443,1.469617
16.052486,1.454061
16.060515,1.432177
15.909944,1.415457
16.109181,1.398421
16.195584,1.381540
16.191216,1.362296
16.325046,1.343364
16.491159,1.328030
16.313846,1.311389
16.267350,1.296304
16.180557,1.277065
16.148716,1.260958
16.179281,1.237587
16.230757,1.221593
16.294564,1.201956
16.457349,1.183032
16.533284,1.165066
16.749695,1.148051
16.538812,1.131966
16.567196,1.114901
16.645736,1.096227
16.991404,1.080827
17.019317,1.064442
16.867697,1.046818
16.925444,1.032809
16.931798,1.017888
16.957530,1.001457
17.104320,0.983776
17.097028,0.967675
17.074591,0.950442
16.961055,0.936320
17.036391,0.922453
17.014000,0.905325
17.065405,0.888925
16.991130,0.869968
17.066305,0.852478
17.070200,0.833367
17.239527,0.815085
17.147129,0.798382
17.210005,0.782440
17.350333,0.762920
17.426899,0.743837
17.475484,0.725539
17.443580,0.711171
17.728562,0.691841
17.891136,0.673543
18.060487,0.653540
17.849763,0.638133
17.682557,0.622834
17.588190,0.606530
17.816791,0.587611
17.822879,0.569676
18.031384,0.552303
18.042828,0.532721
17.983866,0.516229
17.821323,0.496837
